"","rank","title","revenue","ceo","position","sector","industry","hq","years","employees","sex","sexCoef","sexPred1","sexPred2"
"128",128,"Avnet",22872.1,"William J. Amelio","Chief Executive Officer & Director","Wholesalers","Wholesalers: Electronics and Office Equipment","Phoenix",18,166,"M",0,-0.00042033635890544,0.999999999377001
"129",129,"Eli Lilly",22871.3,"David A. Ricks","Chairman, President & Chief Executive Officer","Health Care","Pharmaceuticals","Indianapolis",18,478,"M",0,-0.000417276925496352,2.22044604925031e-16
"130",130,"Amgen",22849,"Robert A. Bradway","Chairman, President & Chief Executive Officer","Health Care","Pharmaceuticals","Thousand Oaks, Calif.",12,283,"M",0,-0.000415344137021655,2.22044604925031e-16
"131",131,"McDonald’s",22820.4,"Stephen J. Easterbrook","President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Food Services","Oak Brook, Ill.",18,312,"M",0,0.165951667829258,0.0915088914485438
"132",132,"Starbucks",22386.8,"Keven R. Johnson","President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Food Services","Seattle",9,346,"M",0,0.165946041309775,0.0878716395321204
"133",133,"Qualcomm",22291,"Steven M. Mollenkopf","Chairman & Chief Executive Officer","Technology","Semiconductors and Other Electronic Components","San Diego",12,414,"M",0,0.0426924191505943,0.994576441470957
"134",134,"Dollar Tree",22245.5,"Gary M. Philbin","President, Chief Executive Officer & Director","Retailing","Specialty Retailers: Other","Chesapeake, Va.",3,84,"M",0,0.0660908441906845,0.136274371834876
"135",135,"PBF Energy",21786.6,"Thomas J. Nimbley","Chairman & Chief Executive Officer","Energy","Petroleum Refining","Parsippany, N.J.",22,362,"M",0,-0.00106253987261769,1
"136",136,"Icahn Enterprises",21744,"Keith Cozza","President, Chief Executive Officer & Director","Financials","Diversified Financials","New York City",3,706,"M",0,0.0550735396400713,0.593890039507403
"137",137,"Aflac",21667,"Daniel P. Amos","Chairman, President & Chief Executive Officer","Financials","Insurance: Life, Health (stock)","Columbus, Ga.",18,64,"M",0,0.104701166561129,0.613667885250949
"138",138,"AutoNation",21534.6,"Michael J. Jackson","Chairman, President & Chief Executive Officer","Retailing","Automotive Retailing, Services","Fort Lauderdale, Fla.",15,333,"M",0,0.0997977444477575,1
"139",139,"Penske Automotive Group",21389,"Roger S. Penske","Chairman & Chief Executive Officer","Retailing","Automotive Retailing, Services","Bloomfield Hills, Mich.",14,333,"M",0,0.0997974110979605,1
"140",140,"Whirlpool",21253,"Marc R. Bitzer","President, Chief Executive Officer & Director","Industrials","Electronics, Electrical Equip.","Benton Harbor, Mich.",18,735,"M",0,-0.000797691359190994,0.999999999999762
"141",141,"Union Pacific",21240,"Lance M. Fritz","Chairman, President & Chief Executive Officer","Transportation","Railroads","Omaha",18,482,"M",0,-0.000585808422656461,0.991988105857194
"142",142,"Southwest Airlines",21171,"Gary C. Kelly","Chairman & Chief Executive Officer","Transportation","Airlines","Dallas",18,553,"M",0,0.110601630280125,0.996297688946679
"143",143,"ManpowerGroup",21034.3,"Jonas Prising","Chairman & Chief Executive Officer","Business Services","Temporary Help","Milwaukee",18,350,"M",0,-0.000719038821435714,1
"144",144,"Thermo Fisher Scientific",20918,"Marc N. Casper","President, Chief Executive Officer & Director","Technology","Scientific,Photographic and  Control Equipment","Waltham, Mass.",9,605,"M",0,-0.000974234178414179,1
"145",145,"Bristol-Myers Squibb",20776,"Giovanni Caforio","Chairman & Chief Executive Officer","Health Care","Pharmaceuticals","New York City",18,309,"M",0,-0.000418304308160565,2.22044604925031e-16
"146",146,"Halliburton",20620,"Jeffrey A. Miller","President, Chief Executive Officer & Director","Energy","Oil and Gas Equipment, Services","Houston",18,550,"M",0,-0.000958261397041015,2.22044604925031e-16
"147",147,"Tenet Healthcare",20613,"Ronald A. Rittenmeyer","Chairman & Chief Executive Officer","Health Care","Health Care: Medical Facilities","Dallas",18,81,"M",0,0.0827570326366416,1.71912052205202e-05
"148",148,"Lear",20467,"Raymond E. Scott","President, Chief Executive Officer & Director","Motor Vehicles & Parts","Motor Vehicles and Parts","Southfield, Mich.",18,187,"M",0,0.0517984138342943,0.959186079067278
"149",149,"Cummins",20428,"N. Thomas Linebarger","Chairman & Chief Executive Officer","Industrials","Industrial Machinery","Columbus, Ind.",18,562,"M",0,0.0360869265838389,0.62980481090045
"150",150,"Micron Technology",20322,"Sanjay Mehrotra","President, Chief Executive Officer & Director","Technology","Semiconductors and Other Electronic Components","Boise, Idaho",15,417,"M",0,0.0426960556849302,0.993741715574013
"151",151,"Nucor",20252.4,"John J. Ferriola","Chairman, President & Chief Executive Officer","Materials","Metals","Charlotte, N.C.",18,324,"M",0,0.0827735534610002,0.98217222630018
