rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
685;BMC Stock Holdings;$3,366;David E. Flitman;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Atlanta;www.buildwithbmc.com;-;9,100;NA;
686;Ryerson Holding;$3,364.7;Edward J. Lehner;President, Chief Executive Officer & Director;Materials;Metals;Chicago;www.ryerson.com;-;3,600;NA;
687;Equifax;$3,362.2;Mark W. Begor;Chairman & Chief Executive Officer;Business Services;Financial Data Services;Atlanta;www.equifax.com;-;10,300;NA;
688;Regal Beloit;$3,360.3;Mark J. Gliebe;Chairman & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;Beloit, Wis.;www.regalbeloit.com;-;23,600;NA;
689;Old Dominion Freight Line;$3,358.1;Greg C. Gantt;President, Chief Executive Officer & Director;Transportation;Trucking, Truck Leasing;Thomasville, N.C.;www.odfl.com;-;19,183;NA;
690;American Water Works;$3,357;Susan N. Story;President, Chief Executive Officer & Director;Energy;Miscellaneous;Voorhees, N.J.;www.amwater.com;-;6,900;NA;
691;BGC Partners;$3,353.4;Howard W. Lutnick;Chairman & Chief Executive Officer;Financials;Securities;New York City;www.bgcpartners.com;-;9,238;NA;
692;Brink’s;$3,347;Douglas A. Pertz;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;Richmond, Va.;www.brinks.com;-;62,150;NA;
692;Meritor;$3,347;Douglas A. Pertz;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;Richmond, Va.;www.brinks.com;-;62,150;NA;
694;Sentry Insurance Group;$3,346.4;Peter G. McPartland;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);Stevens Point, Wis.;www.sentry.com;-;4,139;NA;
695;Sanderson Farms;$3,342.2;Joe F. Sanderson Jr.;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Food Production;Laurel, Miss.;www.sandersonfarms.com;-;14,669;NA;
696;KapStone Paper & Packaging;$3,315.7;Matthew Kaplan;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Northbrook, Ill.;www.kapstonepaper.com;-;6,400;NA;
697;Gartner;$3,311.5;Eugene A. Hall;Chief Executive Officer;Technology;Information Technology Services;Stamford, Conn.;www.gartner.com;-;15,131;NA;
698;IAC/InterActiveCorp;$3,307.2;NA;NA;Technology;NA;NA;NA;NA;NA;NA;
699;Tailored Brands;$3,304.3;Douglas S. Ewert;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Houston;www.tailoredbrands.com;-;18,200;NA;
700;WABCO Holdings;$3,304.2;Jacques Esculier;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Rochester Hills, Mich.;www.wabco-auto.com;-;14,631;NA;
701;Insperity;$3,300.2;Paul J. Sarvadi;Chairman & Chief Executive Officer;Business Services;Diversified Outsourcing Services;Kingwood, Texas;www.insperity.com;-;2,900;NA;
702;Comerica;$3,289;Ralph W. Babb Jr.;Chairman & Chief Executive Officer;Financials;Commercial Banks;Dallas;www.comerica.com;-;7,999;NA;
703;TriNet Group;$3,275;Burton M. Goldfield;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;San Leandro, Calif.;www.trinet.com;-;2,700;NA;
704;Avaya Holdings;$3,272;James M. Chirico Jr.;President, Chief Executive Officer & Director;Technology;Information Technology Services;Santa Clara, Calif.;www.avaya.com;-;8,700;NA;
