rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
152;Molina Healthcare;$19,883;Joseph M. Zubretsky;President, Chief Executive Officer & Director;Health Care;Health Care: Insurance and Managed Care;Long Beach, Calif.;www.molinahealthcare.com;7;20,000;f500-2018-molina-healthcare;
153;Fluor;$19,521;David T. Seaton;Chairman & Chief Executive Officer;Engineering & Construction;Engineering, Construction;Irving, Texas;www.fluor.com;17;56,706;f500-2018-fluor;
154;Altria Group;$19,494;Howard A. Willard III;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Tobacco;Richmond, Va.;www.altria.com;24;8,300;altria-group-fortune-500;
155;Paccar;$19,456.4;Ronald E. Armstrong;Chairman & Chief Executive Officer;Industrials;Construction and Farm Machinery;Bellevue, Wash.;www.paccar.com;24;25,000;f500-2018-paccar;
156;Hartford Financial Services;$19,228;Christopher J. Swift;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Hartford, Conn.;www.thehartford.com;23;16,400;f500-2018-hartford-financial-services-group;
157;Kohl’s;$19,095;Michelle D. Gass;Chairman & Chief Executive Officer;Retailing;General Merchandisers;Menomonee Falls, Wis.;www.kohls.com;21;85,000;f500-2018-kohls;
158;Western Digital;$19,093;Stephen D. Milligan;Chairman & Chief Executive Officer;Technology;Computers, Office Equipment;San Jose, Calif.;www.wdc.com;15;67,629;western-digital-fortune-500;
159;Jabil;$19,063.1;NA;NA;Technology;NA;NA;NA;NA;NA;western-digital-fortune-500;
160;Community Health Systems;$18,477;Wayne T. Smith;Chairman & Chief Executive Officer;Health Care;Health Care: Medical Facilities;Franklin, Tenn.;www.chs.net;12;86,000;f500-2018-community-health-systems;
161;Visa;$18,358;Alfred F. Kelly Jr.;Chairman & Chief Executive Officer;Business Services;Financial Data Services;San Francisco;www.visa.com;10;15,000;visa-fortune-500;
162;Danaher;$18,329.7;Thomas P. Joyce Jr.;President, Chief Executive Officer & Director;Health Care;Medical Products and Equipment;Washington;www.danaher.com;20;67,000;danaher-fortune-500;
163;Kimberly-Clark;$18,259;Thomas J. Falk;Chairman & Chief Executive Officer;Household Products;Household and Personal Products;Irving, Texas;www.kimberly-clark.com;24;42,000;kimberly-clark-fortune-500;
164;AECOM;$18,203.4;Michael S. Burke;Chairman & Chief Executive Officer;Engineering & Construction;Engineering, Construction;Los Angeles;www.aecom.com;10;87,000;aecom-fortune-500;
165;PNC Financial Services;$18,035;William S. Demchak;Chairman, President & Chief Executive Officer;Financials;Commercial Banks;Pittsburgh;www.pnc.com;24;51,632;pnc-financials-fortune-500;
166;CenturyLink;$17,656;Jeffrey K. Storey;President, Chief Executive Officer & Director;Telecommunications;Telecommunications;Monroe, La.;www.centurylink.com;9;51,000;centurylink-fortune-500;
167;NextEra Energy;$17,195;James L. Robo;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Juno Beach, Fla.;www.nexteraenergy.com;24;14,000;nextera-energy-fortune-500;
168;PG&E Corp.;$17,135;Geisha J. Williams;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;San Francisco;www.pgecorp.com;24;23,000;pge-energy-fortune-500;
169;Synnex;$17,045.7;Dennis Polk;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Electronics and Office Equipment;Fremont, Calif.;www.synnex.com;12;113,600;f500-2018-synnex;
170;WellCare Health Plans;$17,007.2;Kenneth A. Burdick;Chairman & Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;Tampa;www.wellcare.com;10;8,900;f500-2018-wellcare-health-plans;
171;Performance Food Group;$16,761.8;George L. Holm;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Food and Grocery;Richmond, Va.;www.pfgc.com;10;14,000;performance-food-group-fortune-500;
172;Sears Holdings;$16,702;Edward S. Lampert;Chairman & Chief Executive Officer;Retailing;General Merchandisers;Hoffman Estates, Ill.;www.searsholdings.com;24;89,000;f500-2018-sears;
173;Synchrony Financial;$16,695;Margaret M. Keane;President, Chief Executive Officer & Director;Financials;Diversified Financials;Stamford, Conn.;www.synchronyfinancial.com;2;16,000;f500-2018-synchrony-financial;
174;CarMax;$16,637.1;William D. Nash;President, Chief Executive Officer & Director;Retailing;Automotive Retailing, Services;Richmond, Va.;www.carmax.com;15;24,344;carmax-fortune-500;
175;Bank of New York Mellon;$16,621;NA;NA;Retailing;NA;NA;NA;NA;NA;carmax-fortune-500;
176;Freeport-McMoRan;$16,416;Richard C. Adkerson;Vice Chairman, President & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Phoenix;www.fcx.com;13;25,200;freeport-moran-fortune-500;
177;Genuine Parts;$16,308.8;Paul D. Donahue;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Atlanta;www.genpt.com;24;48,000;f500-2018-genuine-parts;
178;Emerson Electric;$16,301;David N. Farr;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;St. Louis;www.emerson.com;24;76,500;f500-2018-emerson-electric;
179;DaVita;$16,038.2;Kent J. Thiry;Chairman & Chief Executive Officer;Health Care;Health Care: Medical Facilities;Denver;www.davita.com;12;74,500;f500-2018-davita-healthcare;
180;Supervalu;$16,009;Mark Gross;President, Chief Executive Officer & Director;Food & Drug Stores;Food and Drug Stores;Eden Prairie, Minn.;www.supervalu.com;24;29,000;f500-2018-supervalu;
181;Gap;$15,855;Arthur L. Peck;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Apparel;San Francisco;www.gapinc.com;24;135,000;gap-fortune-500;
182;General Mills;$15,619.8;Jeffrey L. Harmening;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Minneapolis;www.generalmills.com;24;38,000;general-mills-fortune-500;
183;Nordstrom;$15,478;Blake W. Nordstrom;Co-President & Director;Retailing;General Merchandisers;Seattle;www.nordstrom.com;24;76,000;nordstrom-fortune-500;
184;Colgate-Palmolive;$15,454;Ian M. Cook;Chairman, President & Chief Executive Officer;Household Products;Household and Personal Products;New York City;www.colgatepalmolive.com;24;35,900;colgate-fortune-500;
185;American Electric Power;$15,424.9;Nicholas K. Akins;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Columbus, Ohio;www.aep.com;24;17,666;american-electric-power-fortune-500;
186;XPO Logistics;$15,380.8;Bradley S. Jacobs;Chairman & Chief Executive Officer;Transportation;Transportation and Logistics;Greenwich, Conn.;www.xpo.com;3;95,000;xpo-logistics-fortune-500;
187;Goodyear Tire & Rubber;$15,377;Richard J. Kramer;Chairman, President & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Akron, Ohio;www.goodyear.com;24;64,000;goodyear-fortune-500;
188;Omnicom Group;$15,273.6;John D. Wren;President, Chief Executive Officer & Director;Business Services;Advertising, marketing;New York City;www.omnicomgroup.com;22;77,300;f500-2018-omnicom;
189;CDW;$15,191.5;Thomas E. Richards;Chairman, President & Chief Executive Officer;Technology;Information Technology Services;Lincolnshire, Ill.;www.cdw.com;14;8,726;f500-2018-cdw;
190;Sherwin-Williams;$14,983.8;John G. Morikis;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Cleveland;www.sherwin.com;24;52,695;sherwin-williams-fortuen-500;
191;PPG Industries;$14,967;Michael H. McGarry;Chairman & Chief Executive Officer;Chemicals;Chemicals;Pittsburgh;www.ppg.com;24;47,200;f500-2018-ppg-industries;
192;Texas Instruments;$14,961;Richard K. Templeton;Chairman, President & Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;Dallas;www.ti.com;24;29,714;texas-instruments-fortune-500;
193;C.H. Robinson Worldwide;$14,869.4;John P. Wiehoff;Chairman, President & Chief Executive Officer;Transportation;Transportation and Logistics;Eden Prairie, Minn.;www.chrobinson.com;17;15,074;f500-2018-ch-robinson-worldwide;
194;WestRock;$14,859.7;Steven C. Voorhees;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Atlanta;www.westrock.com;7;44,800;westrock-fortune-500;
195;Cognizant Technology Solutions;$14,810;Francisco D'Souza;Chairman & Chief Executive Officer;Technology;Information Technology Services;Teaneck, N.J.;www.cognizant.com;8;260,000;f500-2018-cognizant-technology;
196;Newell Brands;$14,742.2;Michael B. Polk;Chairman & Chief Executive Officer;Household Products;Home Equipment, Furnishings;Hoboken, N.J.;www.newellbrands.com;23;49,000;newell-brands-fortune-500;
197;CBS;$14,710;Joseph R. Ianniello;Chairman, President & Chief Executive Officer;Media;Entertainment;New York City;www.cbscorporation.com;24;14,715;cbs-fortune-500;
198;Envision Healthcare;$14,700.5;Christopher A. Holden;President, Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;Nashville;www.evhc.net;1;57,750;f500-2018-envision-healthcare;
199;Monsanto;$14,640;Hugh Grant;Chairman & Chief Executive Officer;Chemicals;Chemicals;St. Louis;www.monsanto.com;15;21,900;monsanto-fortune-500;
200;Aramark;$14,604.4;Eric J. Foss;Chairman, President & Chief Executive Officer;Business Services;Diversified Outsourcing Services;Philadelphia;www.aramark.com;24;215,000;aramark-fortune-500;
201;Applied Materials;$14,537;Gary E. Dickerson;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Santa Clara, Calif.;www.appliedmaterials.com;23;18,400;applied-materials-fortune-500;
202;Waste Management;$14,485;James C. Fish Jr.;President, Chief Executive Officer & Director;Business Services;Waste Management;Houston;www.wm.com;20;42,300;waste-management-fortune-500;
203;DISH Network;$14,391.4;W. Erik Carlson;President, Chief Executive Officer & Director;Telecommunications;Telecommunications;Englewood, Colo.;www.dish.com;17;17,000;dish-network-fortune-500;
204;Illinois Tool Works;$14,314;E. Scott Santi;Chairman, President & Chief Executive Officer;Industrials;Industrial Machinery;Glenview, Ill.;www.itw.com;24;50,000;illinois-tool-works-fortune-500;
205;Lincoln National;$14,257;Dennis R. Glass;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (stock);Radnor, Pa.;www.lfg.com;24;9,047;f500-2018-lincoln-national;
206;HollyFrontier;$14,251.3;George J. Damiris;President, Chief Executive Officer & Director;Energy;Petroleum Refining;Dallas;www.hollyfrontier.com;11;3,522;hollyfrontier-fortune-500;
207;CBRE Group;$14,209.6;Robert E. Sulentic;President, Chief Executive Officer & Director;Financials;Real estate;Los Angeles;www.cbre.com;11;80,000;f500-2018-cbre-group;
208;Textron;$14,198;Scott C. Donnelly;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Providence, R.I.;www.textron.com;24;37,000;textron-fortune-500;
209;Ross Stores;$14,134.7;Barbara Rentler;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Dublin, Calif.;www.rossstores.com;16;82,700;f500-2018-ross-stores;
210;Principal Financial;$14,093.2;Daniel J. Houston;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);Des Moines, Iowa;www.principal.com;24;15,378;f500-2018-principal-financial;
211;D.R. Horton;$14,091;David V. Auld;President, Chief Executive Officer & Director;Engineering & Construction;Homebuilders;Arlington, Texas;www.drhorton.com;16;7,735;d-r-horton-fortune-500;
212;Marsh & McLennan;$14,024;Daniel S. Glaser;President, Chief Executive Officer & Director;Financials;Diversified Financials;New York City;www.mmc.com;24;64,000;f500-2018-marsh-mclennan;
213;Devon Energy;$13,949;David A. Hager;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Oklahoma City;www.devonenergy.com;17;3,414;f500-2018-devon-energy;
214;AES;$13,850;Andr�s R. Gluski;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Arlington, Va.;www.aes.com;18;10,500;f500-2018-aes-corporation;
215;Ecolab;$13,838.3;Douglas M. Baker Jr.;Chairman & Chief Executive Officer;Chemicals;Chemicals;St. Paul, Minn.;www.ecolab.com;16;48,400;ecolab-fortune-500;
216;Land O’Lakes;$13,740.4;Beth Ford;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;Arden Hills, Minn.;www.landolakesinc.com;16;10,000;land-o-lakes-fortune-500;
217;Loews;$13,735;James S. Tisch;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);New York City;www.loews.com;24;18,100;f500-2018-loews;
218;Kinder Morgan;$13,705;Steven J. Kean;President, Chief Executive Officer & Director;Energy;Pipelines;Houston;www.kindermorgan.com;15;10,897;kinder-morgan-fortune-500;
219;FirstEnergy;$13,627;Charles E. Jones;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Akron, Ohio;www.firstenergycorp.com;23;15,617;firstenergy-fortune-500;
220;Occidental Petroleum;$13,274;Vicki A. Hollub;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Houston;www.oxy.com;24;11,000;occidental-petroleum-fortune-500;
221;Viacom;$13,263;Robert M. Bakish;President, Chief Executive Officer & Director;Media;Entertainment;New York City;www.viacom.com;13;11,200;viacom-fortune-500;
222;PayPal Holdings;$13,094;Daniel H. Schulman;President, Chief Executive Officer & Director;Business Services;Financial Data Services;San Jose, Calif.;www.paypal.com;3;18,700;paypal-fortune-500;
223;NGL Energy Partners;$13,022.2;H. Michael Krimbill;Chief Executive Officer & Director;Energy;Energy;Tulsa, Okla.;www.nglenergypartners.com;4;2,700;ngl-energy-fortune-500;
224;Celgene;$13,003;Mark J. Alles;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;Summit, N.J.;www.celgene.com;7;7,467;celgene-fortune-500;
225;Arconic;$12,960;Charles P. Blankenship;Chairman & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;New York City;www.arconic.com;24;41,500;arconic-fortune-500;
226;Kellogg;$12,923;Steven A. Cahillane;Chairman, President & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Battle Creek, Mich.;www.kelloggcompany.com;24;32,944;kelloggs-fortune-500;
227;Las Vegas Sands;$12,882;Sheldon G. Adelson;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Las Vegas;www.sands.com;9;50,500;las-vegas-sands-fortune-500;
228;Stanley Black & Decker;$12,747.2;James M. Loree;President, Chief Executive Officer & Director;Household Products;Home Equipment, Furnishings;New Britain, Conn.;www.stanleyblackanddecker.com;11;57,765;stanley-black-decker-fortune-500;
229;Booking Holdings;$12,681.1;Glenn D. Fogel;President, Chief Executive Officer & Director;Technology;Internet Services and Retailing;Norwalk, Conn.;www.bookingholdings.com;6;22,900;booking-holdings-fortune-500;
230;Lennar;$12,646.4;Richard Beckwitt;Chief Executive Officer & Director;Engineering & Construction;Homebuilders;Miami;www.lennar.com;14;9,111;lennar-fortune-500;
231;L Brands;$12,632.4;Leslie H. Wexner;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Columbus, Ohio;www.lb.com;24;59,200;l-brands-fortune-500;
232;DTE Energy;$12,607;Gerard M. Anderson;Chairman & Chief Executive Officer;Energy;Utilities: Gas and Electric;Detroit;www.dteenergy.com;24;10,200;dte-energy-fortune-500;
233;Dominion Energy;$12,586;NA;NA;Energy;NA;NA;NA;NA;NA;dte-energy-fortune-500;
234;Reinsurance Group of America;$12,515.8;Anna Manning;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (stock);Chesterfield, Mo.;www.rgare.com;9;2,640;f500-2018-reinsurance-group-of-america;
235;J.C. Penney;$12,506;Jill A. Soltau;Chairman & Chief Executive Officer;Retailing;General Merchandisers;Plano, Texas;www.jcpenney.com;24;98,000;jc-penney-fortune-500;
236;Mastercard;$12,497;Ajay Banga;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Purchase, N.Y.;www.mastercard.com;10;13,400;mastercard-fortune-500;
237;BlackRock;$12,491;Laurence D. Fink;Chairman & Chief Executive Officer;Financials;Securities;New York City;www.blackrock.com;11;13,900;blackrock-fortune-500;
238;Henry Schein;$12,461.5;Stanley M. Bergman;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;Melville, N.Y.;www.henryschein.com;15;22,000;henry-schein-fortune-500;
239;Guardian Life Ins. Co. of America;$12,454.5;Deanna M. Mulligan;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (Mutual);New York City;www.guardianlife.com;24;9,283;NA;
240;Stryker;$12,444;Kevin A. Lobo;Chairman & Chief Executive Officer;Health Care;Medical Products and Equipment;Kalamazoo, Mich.;www.stryker.com;16;33,000;stryker-fortune-500;
241;Jefferies Financial Group;$12,407.9;Richard B. Handler;Chairman & Chief Executive Officer;Financials;Diversified Financials;New York City;www.jefferies.com;6;12,700;f500-2018-leucadia-national;
242;VF;$12,399.6;Steven E. Rendle;Chairman, President & Chief Executive Officer;Apparel;Apparel;Greensboro, N.C.;www.vfc.com;24;69,000;vf-fortune-500;
243;ADP;$12,379.8;Carlos A. Rodriguez;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;Roseland, N.J.;www.adp.com;24;58,000;f500-2018-adp;
244;Edison International;$12,320;Pedro J. Pizarro;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Rosemead, Calif.;www.edisoninvestor.com;24;12,521;edison-international-fortune-500;
245;Biogen;$12,273.9;Michel Vounatsos;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;Cambridge, Mass.;www.biogen.com;9;7,300;biogen-fortune-500;
246;United States Steel;$12,250;David B. Burritt;President, Chief Executive Officer & Director;Materials;Metals;Pittsburgh;www.ussteel.com;16;29,200;united-states-steel-fortune-500;
247;Core-Mark Holding;$12,225;Scott E. McPherson;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Food and Grocery;South San Francisco, Calif.;www.core-mark.com;9;8,413;f500-2018-core-mark-holding;
248;Bed Bath & Beyond;$12,215.8;Steven H. Temares;Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Union, N.J.;www.bedbathandbeyond.com;15;65,000;bed-bath-beyond-fortune-500;
249;Oneok;$12,173.9;Terry K. Spencer;President, Chief Executive Officer & Director;Energy;Pipelines;Tulsa, Okla.;www.oneok.com;16;2,470;oneok-fortune-500;
250;BB&T Corp.;$12,156;Kelly S. King;Chairman & Chief Executive Officer;Financials;Commercial Banks;Winston-Salem, N.C.;www.bbt.com;20;36,484;f500-2018-bbt-corp;
251;Becton Dickinson;$12,093;Vincent A. Forlenza;Chairman & Chief Executive Officer;Health Care;Medical Products and Equipment;Franklin Lakes, N.J.;www.bd.com;24;41,933;f500-2018-becton-dickinson;
252;Ameriprise Financial;$12,075;James M. Cracchiolo;Chairman & Chief Executive Officer;Financials;Diversified Financials;Minneapolis;www.ameriprise.com;12;13,312;f500-2018-ameriprise-financial;
253;Farmers Insurance Exchange;$12,071.8;Jeffrey J. Dailey;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Mutual);Woodland Hills, Calif.;www.farmers.com;4;13,015;f500-2018-farmers-insurance-exchange;
254;First Data;$12,052;Frank J. Bisignano;Chairman & Chief Executive Officer;Business Services;Financial Data Services;New York City;www.firstdata.com;24;22,000;f500-2018-first-data;
255;Consolidated Edison;$12,033;John McAvoy;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;New York City;www.conedison.com;24;15,591;f500-2018-consolidated-edison;
256;Parker-Hannifin;$12,029.3;Thomas L. Williams;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;Cleveland;www.parker.com;24;56,690;NA;
257;Anadarko Petroleum;$11,908;R. A. Walker;Chairman, President & Chief Executive Officer;Energy;Mining, Crude-Oil Production;The Woodlands, Texas;www.anadarko.com;18;4,400;f500-2018-andarko-petroleum;
258;Estee Lauder;$11,824;Fabrizio Freda;President, Chief Executive Officer & Director;Household Products;Household and Personal Products;New York City;www.elcompanies.com;23;46,000;f500-2018-estee-lauder;
259;State Street Corp.;$11,774;Joseph L. Hooley;Chairman & Chief Executive Officer;Financials;Commercial Banks;Boston;www.statestreet.com;23;36,643;f500-2018-state-street;
260;Tesla;$11,758.8;Elon Musk;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Palo Alto, Calif.;www.tesla.com;2;37,543;f500-2018-tesla;
261;Netflix;$11,692.7;Reed Hastings;Chairman, President & Chief Executive Officer;Technology;Internet Services and Retailing;Los Gatos, Calif.;www.netflix.com;4;5,100;f500-2018-netflix;
262;Alcoa;$11,652;Roy C. Harvey;President, Chief Executive Officer & Director;Materials;Metals;Pittsburgh;www.alcoa.com;2;14,600;f500-2018-alcoa;
263;Discover Financial Services;$11,545;Roger C. Hochschild;Chairman & Chief Executive Officer;Financials;Commercial Banks;Riverwoods, Ill.;www.discover.com;10;16,500;f500-2018-discover-financial-services;
264;Praxair;$11,437;Stephen F. Angel;Chairman & Chief Executive Officer;Chemicals;Chemicals;Danbury, Conn.;www.praxair.com;24;26,461;f500-2018-praxair;
265;CSX;$11,408;James M. Foote;President, Chief Executive Officer & Director;Transportation;Railroads;Jacksonville, Fla.;www.csx.com;24;24,006;f500-2018-csx;
266;Xcel Energy;$11,404;Benjamin G.S. Fowke III;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Minneapolis;www.xcelenergy.com;22;11,105;f500-2018-xcel-energy;
267;Unum Group;$11,286.8;Richard P. McKenney;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (stock);Chattanooga, Tenn.;www.unum.com;23;9,400;f500-2018-unum-group;
268;Universal Health Services;$11,278.9;Alan B. Miller;Chairman & Chief Executive Officer;Health Care;Health Care: Medical Facilities;King of Prussia, Pa.;www.uhsinc.com;15;72,300;f500-2018-universal-health-services;
269;NRG Energy;$11,275;Mauricio Gutierrez;President, Chief Executive Officer & Director;Energy;Energy;Princeton, N.J.;www.nrg.com;12;5,940;f500-2018-nrg-energy;
270;EOG Resources;$11,208.3;William R. Thomas;Chairman & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Houston;www.eogresources.com;10;2,664;f500-2018-eog-resources;
271;Sempra Energy;$11,207;J. Walker Martin;Chairman & Chief Executive Officer;Energy;Utilities: Gas and Electric;San Diego;www.sempra.com;20;16,046;f500-2018-sempra-energy;
272;Toys “R” Us;$11,146;David A. Brandon;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Wayne, N.J.;www.toysrusinc.com;24;65,000;f500-2018-toys-r-us;
273;Group 1 Automotive;$11,123.7;Earl J. Hesterberg;President, Chief Executive Officer & Director;Retailing;Automotive Retailing, Services;Houston;www.group1auto.com;18;14,108;f500-2018-group-1-automotive;
274;Entergy;$11,074.5;Leo P. Denault;Chairman & Chief Executive Officer;Energy;Utilities: Gas and Electric;New Orleans;www.entergy.com;24;13,504;f500-2018-entergy;
275;Molson Coors Brewing;$11,002.8;Mark R. Hunter;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Beverages;Denver;www.molsoncoors.com;8;17,200;f500-2018-molson-coors-brewing;
276;L3 Technologies;$11,002;Christopher E. Kubasik;President, Chief Executive Officer & Director;Aerospace & Defense;Aerospace and Defense;New York City;www.l3t.com;16;38,000;f500-2018-l3-technologies1;
277;Ball;$10,983;John A. Hayes;Chairman, President & Chief Executive Officer;Materials;Packaging, Containers;Broomfield, Colo.;www.ball.com;22;18,300;f500-2018-ball-corporation;
278;AutoZone;$10,888.7;William C. Rhodes III;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Other;Memphis;www.autozone.com;20;70,035;f500-2018-autozone;
279;Murphy USA;$10,853.4;R. Andrew Clyde;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;El Dorado, Ark.;www.murphyusa.com;5;6,900;f500-2018-murphy-usa;
280;MGM Resorts International;$10,773.9;James J. Murren;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Las Vegas;www.mgmresorts.com;18;68,500;f500-2018-mgm-resorts-international;
281;Office Depot;$10,752;Gerry P. Smith;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Boca Raton, Fla.;www.officedepot.com;24;45,000;f500-2018-office-depot;
282;Huntsman;$10,592;Peter R. Huntsman;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;The Woodlands, Texas;www.huntsman.com;13;10,000;f500-2018-huntsman;
283;Baxter International;$10,561;Jos� E. Almeida;Chairman, President & Chief Executive Officer;Health Care;Medical Products and Equipment;Deerfield, Ill.;www.baxter.com;24;47,000;f500-2018-baxter-international;
284;Norfolk Southern;$10,551;James A. Squires;Chairman, President & Chief Executive Officer;Transportation;Railroads;Norfolk, Va.;www.norfolksouthern.com;24;27,110;f500-2018-norfolk-southern1;
285;salesforce.com;$10,480;Marc R. Benioff/Keith G. Block;Chairman & Chief Executive Officer;Technology;Computer Software;San Francisco;www.salesforce.com;4;29,000;f500-2018-salesforce;
286;Laboratory Corp. of America;$10,441.4;David P. King;Chairman, President & Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;Burlington, N.C.;www.labcorp.com;9;60,000;f500-2018-laboratory-corp-of-america;
287;W.W. Grainger;$10,424.9;Donald G. MacPherson;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Diversified;Lake Forest, Ill.;www.grainger.com;24;25,050;f500-2018-grainger;
288;Qurate Retail;$10,404;Gregory B. Maffei;Chairman;Retailing;Internet Services and Retailing;Englewood, Colo.;www.libertyinteractive.com;14;28,255;f500-2018-qurate-retail;
289;Autoliv;$10,382.6;Mikael Bratt;Chairman, President & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Auburn Hills, Mich.;www.autoliv.com;20;67,352;f500-2018-autoliv;
290;Live Nation Entertainment;$10,337.4;Michael Rapino;President, Chief Executive Officer & Director;Media;Entertainment;Beverly Hills, Calif.;www.livenationentertainment.com;9;15,050;f500-2018-live-nation-entertainment;
291;Xerox;$10,265;John Visentin;Chairman & Chief Executive Officer;Technology;Computers, Office Equipment;Norwalk, Conn.;www.xerox.com;24;36,100;f500-2018-xerox;
292;Leidos Holdings;$10,170;Roger A. Krone;Chairman & Chief Executive Officer;Technology;Information Technology Services;Reston, Va.;www.leidos.com;18;31,000;f500-2018-leidos-holdings;
293;Corning;$10,116;Wendell P. Weeks;Chairman, President & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;Corning, N.Y.;www.corning.com;23;46,200;f500-2018-corning;
294;Lithia Motors;$10,086.5;Bryan B. DeBoer;President, Chief Executive Officer & Director;Retailing;Automotive Retailing, Services;Medford, Ore.;www.lithiainvestorrelations.com;4;12,899;f500-2018-lithia-motors;
295;Expedia Group;$10,059.8;Mark D. Okerstrom;President, Chief Executive Officer & Director;Retailing;Internet Services and Retailing;Bellevue, Wash.;www.expediagroup.com;4;22,615;f500-2018-expedia-group;
296;Republic Services;$10,041.5;Donald W. Slager;President, Chief Executive Officer & Director;Business Services;Waste Management;Phoenix;www.republicservices.com;9;35,000;f500-2018-republic-services;
297;Jacobs Engineering Group;$10,022.8;Steven J. Demetriou;Chairman, President & Chief Executive Officer;Engineering & Construction;Engineering, Construction;Dallas;www.jacobs.com;18;49,750;f500-2018-jacobs-engineering-group;
298;Sonic Automotive;$9,867.2;David Bruton Smith;President, Chief Executive Officer & Director;Retailing;Automotive Retailing, Services;Charlotte, N.C.;www.sonicautomotive.com;19;9,750;f500-2018-sonic-automotive;
299;Ally Financial;$9,866;Jeffrey J. Brown;Chairman & Chief Executive Officer;Financials;Diversified Financials;Detroit;www.ally.com;11;7,900;f500-2018-ally-financial;
300;LKQ;$9,848;Dominick P. Zarcone;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Chicago;www.lkqcorp.com;5;43,000;f500-2018-lkq;
301;BorgWarner;$9,799.3;Frederic Lissalde;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Auburn Hills, Mich.;www.borgwarner.com;12;29,000;f500-2018-borgwarner;
